127.0.0.1 - - [11/Jul/2023:20:53:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:53:56 +0530] "GET /StudentAttendanceSystem/ HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:53:56 +0530] "GET /StudentAttendanceSystem/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:53:56 +0530] "GET /StudentAttendanceSystem/images/31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:53:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:02 +0530] "POST /StudentAttendanceSystem/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:02 +0530] "GET /StudentAttendanceSystem/after_adminLogin.jsp?_tokens=%2721768306-82b2-4d9a-825a-c88e35ff0d36%27 HTTP/1.1" 200 11215
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:02 +0530] "GET /StudentAttendanceSystem/js/jquery.counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/students_data.jsp HTTP/1.1" 200 57301
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/css/jquery.dataTables.css HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/js/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:22 +0530] "GET /StudentAttendanceSystem/js/jquery.dataTables.min.js HTTP/1.1" 200 83059
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:23 +0530] "GET /StudentAttendanceSystem/js/script.js HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:23 +0530] "GET /StudentAttendanceSystem/images/loading.gif HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:23 +0530] "GET /StudentAttendanceSystem/images/sort_both.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [11/Jul/2023:20:54:23 +0530] "GET /StudentAttendanceSystem/images/sort_asc.png HTTP/1.1" 404 802
